ID,NEW_TYPE,Big Category,Mid Category,Sub Category
1,010000,Auto Service,Automobile Service Related,Automobile Service Related
2,010100,Auto Service,Filling Station,Filling Station
3,010101,Auto Service,Filling Station,Sinopec
4,010102,Auto Service,Filling Station,PetroChina
5,010103,Auto Service,Filling Station,Shell
6,010104,Auto Service,Filling Station,Mobil
7,010105,Auto Service,Filling Station,Caltex
8,010107,Auto Service,Filling Station,FEOSO
9,010108,Auto Service,Filling Station,BP PetroChina
10,010109,Auto Service,Filling Station,BP Sinopec
11,010110,Auto Service,Filling Station,TOTAL
12,010111,Auto Service,Filling Station,ESSO
13,010112,Auto Service,Filling Station,TOTAL-SINOCHEM
14,010200,Auto Service,Other Energy Station,Other Energy Station
15,010300,Auto Service,Filling Station,Filling Station
16,010400,Auto Service,Automobile Maintenance/Decoration,Automobile Maintenance
17,010401,Auto Service,Automobile Maintenance/Decoration,Add Water Station
18,010500,Auto Service,Car Wash,Car Wash
19,010600,Auto Service,Automobile Club,Automobile Club
20,010700,Auto Service,Automobile Rescue,Automobile Rescue
21,010800,Auto Service,Automobile Parts Sales,Automobile Parts Sales
22,010900,Auto Service,Automobile Rental,Automobile Rental
23,010901,Auto Service,Automobile Rental,Rent-a-Car Return
24,011000,Auto Service,Used Automobile Dealer,Used Automobile Dealer
25,011100,Auto Service,Charging Station,Charging Station
26,020000,Auto Dealers,Automobile Sales,Automobile Sales
27,020100,Auto Dealers,Volkswagen Franchised Sales,Volkswagen Sales
28,020101,Auto Dealers,Volkswagen Franchised Sales,Shanghai Volkswagen Sales
29,020102,Auto Dealers,Volkswagen Franchised Sales,FAW-Volkswagen Sales
30,020103,Auto Dealers,Volkswagen Franchised Sales,Skoda Sales
31,020104,Auto Dealers,Volkswagen Franchised Sales,Import Volkswagen Sales
32,020105,Auto Dealers,Volkswagen Franchised Sales,Bentley Sales
33,020106,Auto Dealers,Volkswagen Franchised Sales,Lamborghini Sales
34,020200,Auto Dealers,Honda Franchised Sales,Honda Sales
35,020201,Auto Dealers,Honda Franchised Sales,GAC Honda Sales
36,020202,Auto Dealers,Honda Franchised Sales,Dongfeng Honda Sales
37,020203,Auto Dealers,Honda Franchised Sales,Acura Sales
38,020300,Auto Dealers,Audi Franchised Sales,Audi Sales
39,020301,Auto Dealers,Audi Franchised Sales,FAW-Audi Sales
40,020400,Auto Dealers,General Motors Franchised Sales,General Motors Sales
41,020401,Auto Dealers,General Motors Franchised Sales,Cadillac Sales
42,020402,Auto Dealers,General Motors Franchised Sales,Buick Sales
43,020403,Auto Dealers,General Motors Franchised Sales,Chevrolet Sales
